t, value
1862, 9476
1863, 9712
1864, 9413
1865, 9416
1866, 9279
1867, 9699
1868, 9911
1869, 9599
1870, 11177
1871, 11212
1872, 11572
1873, 11860
1874, 13476
1875, 13769
1876, 13328
1877, 12436
1878, 11408
1879, 11457
1880, 10684
1881, 11380
1882, 11709
1883, 11226
1884, 11448
1885, 10821
1886, 10880
1887, 10795
1888, 10676
1889, 11286
1890, 11148
1891, 11114
1892, 11338
1893, 11510
1894, 11350
1895, 11749
1896, 11624
1897, 11634
1898, 11182
1899, 11399
1900, 10930
1901, 10248
1902, 10049
1903, 9787
1904, 9814
1905, 9813
1906, 11492
1907, 11984
1908, 11842
1909, 11670
1910, 11909
1911, 11600
1912, 10558
1913, 9722
1914, 9742
1915, 10089
1916, 9966
1917, 9846
1918, 11396
1919, 11886
1920, 11884
1921, 11913
1922, 12038
1923, 11895
1924, 11740
1925, 11631
1926, 11525
1927, 11557
1928, 11795
1929, 11713
1930, 11265
1931, 11557
1932, 11144
1933, 10990
1934, 10733
1935, 10950
1936, 10380
1937, 10831
1938, 10566
1939, 10866
1940, 10874
1941, 10499
1942, 10584
1943, 10510
1944, 10983
1945, 11140
1946, 10772
1947, 11210
1948, 11627
1949, 11643
1950, 11849
1951, 11866
1952, 11815
1953, 11366
1954, 11923
1955, 12018
1956, 10946
1957, 11093
1958, 11828
1959, 11297
1960, 10939
1961, 9749
1962, 9772
1963, 9794
1964, 9557
1965, 9457
1966, 9614
1967, 9941
1968, 9950
1969, 9664
1970, 10036
1971, 9638
1972, 9682
1973, 9699
1974, 9913
1975, 9596
1976, 9708
1977, 9734
1978, 9652
1979, 9661
1980, 9783
1981, 10011
1982, 11890
1983, 12293
1984, 11951
1985, 11822
1986, 12019
1987, 12023
1988, 11494
1989, 11299
1990, 11024
1991, 10960
1992, 10789
1993, 11032
1994, 11424
1995, 12452
1996, 11435
1997, 11175
1998, 10815
1999, 10857
2000, 10807
2001, 10574
2002, 10894
2003, 11522
2004, 11507
2005, 11655
2006, 11719
2007, 11751
2008, 11860
2009, 11680
2010, 11826
2011, 11914
2012, 11536
2013, 11589
2014, 11328
2015, 11956
2016, 11149
2017, 9744
2018, 9888
2019, 9614
2020, 9933
2021, 9783
2022, 9575
2023, 9714
2024, 9507
2025, 9563
2026, 9317
2027, 9485
2028, 9903
2029, 9821
2030, 11852
2031, 11920
2032, 9776
2033, 9972
2034, 9740
2035, 9765
2036, 11493
2037, 11680
2038, 11791
2039, 11801
2040, 11698
2041, 11439
2042, 11615
2043, 12432
2044, 12137
2045, 13257
2046, 14379
2047, 14145
2048, 14091
2049, 13857
2050, 13582
2051, 13757
2052, 14367
2053, 14596
2054, 14138
2055, 14164
2056, 13270
2057, 12967
2058, 13316
2059, 13730
2060, 13667
2061, 13516
2062, 14042
2063, 14000
2064, 14118
2065, 14007
2066, 12155
2067, 11953
2068, 11049
2069, 9788
2070, 9730
2071, 9884
2072, 9764
2073, 10054
2074, 9783
2075, 9705
2076, 10052
2077, 10114
2078, 9914
2079, 9872
2080, 9904
2081, 10077
2082, 10052
2083, 10028
2084, 9831
2085, 9660
2086, 9885
2087, 9680
2088, 9706
2089, 9495
2090, 7918
2091, 8057
2092, 7900
2093, 7766
2094, 7842
2095, 7893
2096, 7883
2097, 7898
2098, 7842
2099, 7781
2100, 7924
2101, 7792
2102, 7894
2103, 9657
2104, 9837
2105, 10053
2106, 9611
2107, 9608
2108, 9577
2109, 9791
2110, 9687
2111, 9937
2112, 9567
2113, 9783
2114, 11316
2115, 11776
2116, 10770
2117, 9821
2118, 9813
2119, 9869
2120, 10085
2121, 10197
2122, 9967
2123, 10074
2124, 10208
2125, 10139
2126, 10018
2127, 9952
2128, 9866
2129, 9718
2130, 9506
2131, 9418
2132, 9994
2133, 9955
2134, 7597
2135, 7843
2136, 7744
2137, 8072
2138, 7945
2139, 7762
